2010-05-01 19:06:07 startup archives unpack
2010-05-01 19:06:13 upgrade chromium-codecs-ffmpeg 0.5+svn20100423r45437+45451+45639-0ubuntu1~ucd1 0.5+svn20100427r45726+45733+46026-0ubuntu1~ucd1
2010-05-01 19:06:13 status half-configured chromium-codecs-ffmpeg 0.5+svn20100423r45437+45451+45639-0ubuntu1~ucd1
2010-05-01 19:06:13 status unpacked chromium-codecs-ffmpeg 0.5+svn20100423r45437+45451+45639-0ubuntu1~ucd1
2010-05-01 19:06:13 status half-installed chromium-codecs-ffmpeg 0.5+svn20100423r45437+45451+45639-0ubuntu1~ucd1
2010-05-01 19:06:13 status half-installed chromium-codecs-ffmpeg 0.5+svn20100423r45437+45451+45639-0ubuntu1~ucd1
2010-05-01 19:06:13 status unpacked chromium-codecs-ffmpeg 0.5+svn20100427r45726+45733+46026-0ubuntu1~ucd1
2010-05-01 19:06:14 status unpacked chromium-codecs-ffmpeg 0.5+svn20100427r45726+45733+46026-0ubuntu1~ucd1
2010-05-01 19:06:14 upgrade chromium-browser-inspector 5.0.389.0~svn20100427r45661-0ubuntu1~ucd1 5.0.393.0~svn20100430r46027-0ubuntu1~ucd1
2010-05-01 19:06:14 status half-configured chromium-browser-inspector 5.0.389.0~svn20100427r45661-0ubuntu1~ucd1
2010-05-01 19:06:14 status unpacked chromium-browser-inspector 5.0.389.0~svn20100427r45661-0ubuntu1~ucd1
2010-05-01 19:06:14 status half-installed chromium-browser-inspector 5.0.389.0~svn20100427r45661-0ubuntu1~ucd1
2010-05-01 19:06:20 status half-installed chromium-browser-inspector 5.0.389.0~svn20100427r45661-0ubuntu1~ucd1
2010-05-01 19:06:20 status unpacked chromium-browser-inspector 5.0.393.0~svn20100430r46027-0ubuntu1~ucd1
2010-05-01 19:06:20 status unpacked chromium-browser-inspector 5.0.393.0~svn20100430r46027-0ubuntu1~ucd1
2010-05-01 19:06:21 upgrade chromium-browser 5.0.389.0~svn20100427r45661-0ubuntu1~ucd1 5.0.393.0~svn20100430r46027-0ubuntu1~ucd1
2010-05-01 19:06:21 status half-configured chromium-browser 5.0.389.0~svn20100427r45661-0ubuntu1~ucd1
2010-05-01 19:06:21 status unpacked chromium-browser 5.0.389.0~svn20100427r45661-0ubuntu1~ucd1
2010-05-01 19:06:21 status half-installed chromium-browser 5.0.389.0~svn20100427r45661-0ubuntu1~ucd1
2010-05-01 19:06:23 status triggers-pending python-gmenu 2.30.0-0ubuntu4
2010-05-01 19:06:23 status half-installed chromium-browser 5.0.389.0~svn20100427r45661-0ubuntu1~ucd1
2010-05-01 19:06:23 status triggers-pending desktop-file-utils 0.16-0ubuntu2
2010-05-01 19:06:23 status half-installed chromium-browser 5.0.389.0~svn20100427r45661-0ubuntu1~ucd1
2010-05-01 19:06:23 status triggers-pending man-db 2.5.7-2
2010-05-01 19:06:23 status half-installed chromium-browser 5.0.389.0~svn20100427r45661-0ubuntu1~ucd1
2010-05-01 19:06:24 status triggers-pending hicolor-icon-theme 0.11-1
2010-05-01 19:06:24 status half-installed chromium-browser 5.0.389.0~svn20100427r45661-0ubuntu1~ucd1
2010-05-01 19:06:27 status half-installed chromium-browser 5.0.389.0~svn20100427r45661-0ubuntu1~ucd1
2010-05-01 19:06:28 status unpacked chromium-browser 5.0.393.0~svn20100430r46027-0ubuntu1~ucd1
2010-05-01 19:06:28 status unpacked chromium-browser 5.0.393.0~svn20100430r46027-0ubuntu1~ucd1
2010-05-01 19:06:28 upgrade language-pack-en 1:10.04+20100421 1:10.04+20100422
2010-05-01 19:06:28 status half-configured language-pack-en 1:10.04+20100421
2010-05-01 19:06:28 status unpacked language-pack-en 1:10.04+20100421
2010-05-01 19:06:28 status half-installed language-pack-en 1:10.04+20100421
2010-05-01 19:06:28 status triggers-pending software-center 2.0.2
2010-05-01 19:06:28 status half-installed language-pack-en 1:10.04+20100421
2010-05-01 19:06:29 status half-installed language-pack-en 1:10.04+20100421
2010-05-01 19:06:29 status unpacked language-pack-en 1:10.04+20100422
2010-05-01 19:06:29 status unpacked language-pack-en 1:10.04+20100422
2010-05-01 19:06:29 upgrade language-pack-en-base 1:10.04+20100421 1:10.04+20100422
2010-05-01 19:06:29 status half-configured language-pack-en-base 1:10.04+20100421
2010-05-01 19:06:29 status unpacked language-pack-en-base 1:10.04+20100421
2010-05-01 19:06:29 status half-installed language-pack-en-base 1:10.04+20100421
2010-05-01 19:06:29 status half-installed language-pack-en-base 1:10.04+20100421
2010-05-01 19:06:45 status half-installed language-pack-en-base 1:10.04+20100421
2010-05-01 19:06:45 status unpacked language-pack-en-base 1:10.04+20100422
2010-05-01 19:06:45 status unpacked language-pack-en-base 1:10.04+20100422
2010-05-01 19:06:45 upgrade language-pack-gnome-en 1:10.04+20100421 1:10.04+20100422
2010-05-01 19:06:45 status half-configured language-pack-gnome-en 1:10.04+20100421
2010-05-01 19:06:45 status unpacked language-pack-gnome-en 1:10.04+20100421
2010-05-01 19:06:46 status half-installed language-pack-gnome-en 1:10.04+20100421
2010-05-01 19:06:46 status half-installed language-pack-gnome-en 1:10.04+20100421
2010-05-01 19:06:47 status half-installed language-pack-gnome-en 1:10.04+20100421
2010-05-01 19:06:47 status unpacked language-pack-gnome-en 1:10.04+20100422
2010-05-01 19:06:47 status unpacked language-pack-gnome-en 1:10.04+20100422
2010-05-01 19:06:47 upgrade language-pack-gnome-en-base 1:10.04+20100421 1:10.04+20100422
